
Train set: Average loss: 0.0009, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0013, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0012, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0020, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0009, Accuracy: 419/425 (99%)


 The epoch is 290, average recall: 0.7414, average precision: 0.7049,average F1: 0.7227, average accuracy: 0.7203, average AUC: 0.7954
Train set: Average loss: 0.0012, Accuracy: 419/425 (99%)


Train set: Average loss: 0.0013, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0014, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0010, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


 The epoch is 300, average recall: 0.7069, average precision: 0.7069,average F1: 0.7069, average accuracy: 0.7119, average AUC: 0.7971
Train set: Average loss: 0.0004, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0007, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0002, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


 The epoch is 310, average recall: 0.6724, average precision: 0.7091,average F1: 0.6903, average accuracy: 0.7034, average AUC: 0.7917
Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0026, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0011, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0011, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0001, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0003, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0010, Accuracy: 424/425 (100%)


 The epoch is 320, average recall: 0.6724, average precision: 0.7222,average F1: 0.6964, average accuracy: 0.7119, average AUC: 0.7885
Train set: Average loss: 0.0010, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0022, Accuracy: 417/425 (98%)


Train set: Average loss: 0.0023, Accuracy: 411/425 (97%)


Train set: Average loss: 0.0018, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0004, Accuracy: 425/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0008, Accuracy: 420/425 (99%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0009, Accuracy: 423/425 (100%)


 The epoch is 330, average recall: 0.7069, average precision: 0.6508,average F1: 0.6777, average accuracy: 0.6695, average AUC: 0.7681
Train set: Average loss: 0.0011, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0024, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0016, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0017, Accuracy: 418/425 (98%)


Train set: Average loss: 0.0012, Accuracy: 416/425 (98%)


Train set: Average loss: 0.0009, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0003, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0002, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


 The epoch is 340, average recall: 0.6897, average precision: 0.6897,average F1: 0.6897, average accuracy: 0.6949, average AUC: 0.7943
Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0049, Accuracy: 422/425 (99%)


Train set: Average loss: 0.0027, Accuracy: 414/425 (97%)


Train set: Average loss: 0.0065, Accuracy: 411/425 (97%)


Train set: Average loss: 0.0026, Accuracy: 410/425 (96%)


Train set: Average loss: 0.0020, Accuracy: 415/425 (98%)


Train set: Average loss: 0.0008, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0012, Accuracy: 421/425 (99%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


 The epoch is 350, average recall: 0.7069, average precision: 0.6949,average F1: 0.7009, average accuracy: 0.7034, average AUC: 0.7914
Train set: Average loss: 0.0004, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0004, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0005, Accuracy: 423/425 (100%)


Train set: Average loss: 0.0006, Accuracy: 424/425 (100%)


Train set: Average loss: 0.0023, Accuracy: 418/425 (98%)


